code,language
iii,Sichuan Yi
ijo,Ijo-Sprachen
iku,Inuktitut
ile,Interlingue (Plansprache)
ilo,Iloko
ina,Interlingua (Plansprache)
inc,Indoarische Sprachen
ind,Indonesisch
ine,Indoeuropäische Sprachen
inh,Inguschische Sprache
ipk,Inupiaq
ira,Iranische Sprachen
iro,Irokesische Sprachen
ita,Italienisch
jav,Javanisch
jbo,Lojban
jpn,Japanisch
jpr,Judeo-Persisch
jrb,Judeo-Arabisch
kaa,Kara-Kalpak
kab,Kabylisch
kac,Jingpo
kal,Grönländisch
kam,Kamba
kan,Kannada
kar,Karen-Sprachen
kas,Kashmiri
kau,Kanuri
kaw,Kawi
kaz,Kasachisch
kbd,Kabardinische Sprache
kha,Khasi
khi,Khoisan-Sprachfamilie
khm,Kambodschanisch
kho,Khotanesisch
kik,Kikuyu
kin,Kinyarwanda
kir,Kirgisisch
kmb,Kimbundu
kok,Konkani
kom,Komi
kon,Kongo
kor,Koreanisch
kos,Kosrae
kpe,Kpelle
krc,Karatschai-balkarische Sprache
krl,Karelische Sprache
kro,Kru-Sprachen
kru,Kurukh
kua,Kuanyama
kum,Kumykische Sprache
kur,Kurdisch
kut,Kutenai
lad,Ladino
lah,Lahnda
lam,Lamba
lao,Laotisch
lat,Latein
lav,Lettisch
lez,Lesgische Sprache
lim,Limburgisch-Bergisch
lin,Lingala
lit,Litauisch
lol,Mongo
loz,Lozi
ltz,Luxemburgisch
lua,Luba-Lulua
lub,Luba-Katanga
lug,Ganda
lui,Luiseno
lun,Lunda
luo,Luo (Kenia and Tansania)
lus,Lushai
mac,Mazedonisch
mad,Madura
mag,Magahi
mah,Marshallisch
mai,Maithili
mak,Makassar-Sprache
mal,Malajalam
man,Mandingo
mao,Maori
map,Austronesische Sprachen (Andere)
mar,Marati
mas,Maa
may,Malaiisch
mdf,Mokschanische Sprache
mdr,Mandar
men,Mende
mga,Mittelirisch (900-1200)
mic,Mi'kmaq
min,Minangkabau
mis,Verschiedene Sprachen
mkh,Mon-Khmer-Sprachen
mlg,Malagassi-Sprache
mlt,Maltesisch
mnc,Mandschu
mni,Manipuri
mno,Manobo-Sprachen
moh,Mohawk
mon,Mongolisch
mos,Mossi
mul,Vielsprachig
mun,Munda-Sprachen
mus,Muskogee-Sprachen
mwl,Mirandês
mwr,Marwari
myn,Maya-Sprachen
myv,Erzya
nah,Nahuatl-Sprachen
nai,Sprachen der nordamerikanischen Indianer
nap,Neapolitanisch
nau,Nauruisch
nav,Navajo
nbl,"Ndebele, Süd"
nde,"Ndebele, Nord"
ndo,Ndonga
nds,Niederdeutsch
nep,Nepalesisch
new,Nepal Bhasa
nia,Nias
nic,Niger-Kordofanische Sprachfamilie
niu,Niueanisch
nld,Flämisch
nno,Neu-Norwegisch
nob,Bokmål
nog,Nogaische Sprache
non,Alt-Norisch
nor,Norwegisch
nqo,N'Ko
nso,Sotho
nub,Nubische Sprachen
nwc,Alt-Newari
nya,Chichewa
nym,Nyamwezi
nyn,Nyankole
nyo,Nyoro
nzi,Nzima
oci,Okzitanisch
oji,Ojibwa
ori,Orija
orm,Oromo
osa,Osage
oss,Ossetische Sprache
ota,Osmanische Sprache (1500-1928)
oto,Otomangue
paa,Papua-Sprachen(andere)
pag,Pangasinan
pal,Pahlavi
pam,Pampanga
pan,Pandschabisch
pap,Papiamento
pau,Palauisch
peo,Altpersisch (ca.600-400 v.u.Z.)
per,Persisch
phi,Malayo-Polynesische Sprachen
phn,Phoenizisch
pli,Pali
pol,Polnisch
pon,Pohnpei
por,Portugiesisch
pra,Prakrit-Sprachen
pro,Altprovenzalisch (bis 1500)
pus,Paschtunische Sprache
que,Quechua (= Ketschua)
raj,Radschasthani
rap,Rapanui
rar,Rarotonga-Sprache
roa,Romanische Sprachen (andere)
roh,Rätoromanisch
rom,Romani
rum,Rumänisch
run,Kirundi
rup,Aromunische Sprache
rus,Russisch
sad,Sandawe
sag,Sango
sah,Jakutische Sprache
sai,Sprachen südamerikanischer Indianer (andere)
sal,Salish-Sprachen
sam,Samaritanisch
san,Sanskrit
sas,Sasak
sat,Santali
scn,Sizilianisch
sco,Schottisch
sel,Selkupische Sprache
sem,Semitische Sprachen (andere)
sga,Altirisch (bis 900)
sgn,Gebärdensprachen
shn,Shan
sid,Sidamo
sin,Singhalesisch
sio,Sioux-Sprachen
sit,Sino-Tibetische Sprachen (andere)
sla,Slawische Sprachen
slo,Slowakisch
slv,Slowenisch
sma,"Sami, Süd"
sme,"Sami, Nord"
smi,Samische Sprachen (andere)
smj,Lulesamische Sprache
smn,Inarisamische Sprache
smo,Samoanisch
sms,Skoltsamische Sprache
sna,Shona
snd,Sindhi
snk,Soninke
sog,Sogdische Sprache
som,Somali
son,Songhai-Sprachen
sot,"Sotho, Süd"
spa,Spanisch
srd,Sardisch
srn,Sranan Tongo
srp,Serbisch
srr,Serer
ssa,Nilo-saharanische Sprachen (andere)
ssw,Swazi
suk,Sukuma
sun,Sundanesisch
sus,Susu
sux,Sumerisch
swa,Suaheli
swe,Schwedisch
syc,Klassisches Syrisch
syr,Syrisch
tah,Tahitianische Sprache
tai,Thaisprachen (andere)
tam,Tamilisch
tat,Tatarisch
tel,Telugu
tem,Timne
ter,Tereno
tet,Tetum
tgk,Tadschikisch
tgl,Tagalog
tha,Thailändisch
tib,Tibetisch
tig,Tigre
tir,Tigrinja
tiv,Tiv
tkl,Tokelau
tlh,Klingonisch (konstruierte Sprache)
tli,Tlingit
tmh,Tamaseq
tog,Tonga (Nyasa)
ton,Tonga (Tonga-Inseln)
tpi,Pidgin (= Neumelanesisch)
tsi,Tsimshian
tsn,Tsuana
tso,Tsonga
tuk,Turkmenisch
tum,Tumbuka
tup,Tupi-Sprachen
tur,Türkisch
tut,Altaische Sprachen (andere)
tvl,Tuvalu
twi,Twi
tyv,Tuwinische Sprache
udm,Udmurtische Sprache
uga,Ugaritisch
uig,Uigurisch
ukr,Ukrainisch
umb,Umbundu
und,Nicht spezifiziert
urd,Urdu
uzb,Usbekisch
vai,Vai
ven,Venda
vie,Vietnamesisch
vol,Volapük
vot,Wotisch
wak,Wakash-Sprachen
wal,Walamo
war,Waray
was,Washo
wel,Walisisch
wen,Sorbische Sprachen
wln,Wallonisch
wol,Wolof
xal,Kalmückisch
xho,Xhosa
yao,Yao
yap,Yapesisch
yid,Jiddisch
yor,Joruba
ypk,Yupik-Sprachen
zap,Zapotekisch
zbl,Bliss-Symbole
zen,Zenaga
zha,Zhuang
znd,Zande-Sprachen
zul,Zulu
zun,Zuni
zxx,kein linguistischer Inhalt
zza,Zazaische Sprache
